Obalno kraška;5
Goriška;6
Gorenjska;10
Osrednjeslovenska;26
Notranjsko.kraška;3
Jugovzhodna.Slovenija;7
Spodnjeposavska;3
Zasavska;2
Savinjska;13
Koroška;4
Podravska;16
Pomurska;6
